name,x,y,z
1,4867.0,126298.0,0.0
2,16867.0,126298.0,0.0
3,32067.0,126298.0,0.0
4,4867.0,106698.0,0.0
5,44067.0,106698.0,0.0
6,4867.0,87098.0,0.0
7,16867.0,87098.0,0.0
8,32067.0,87098.0,0.0
9,44067.0,87098.0,0.0
10,4867.0,114848.0,0.0
11,4867.0,98548.0,0.0
12,44067.0,98548.0,0.0
13,44067.0,114848.0,0.0
14,44067.0,126298.0,0.0
15,16867.0,114848.0,0.0
16,17867.0,114848.0,0.0
17,20667.0,114848.0,0.0
18,23267.0,114848.0,0.0
19,26367.0,114848.0,0.0
20,27767.0,114848.0,0.0
21,32067.0,110198.0,0.0
22,32067.0,114848.0,0.0
23,26367.0,110448.0,0.0
24,26367.0,113448.0,0.0
25,27767.0,113448.0,0.0
26,20667.0,108798.0,0.0
27,20667.0,109893.0,0.0
28,16867.0,110198.0,0.0
29,16867.0,113648.0,0.0
30,27367.0,110448.0,0.0
31,23267.0,108798.0,0.0
32,23267.0,109893.0,0.0
33,20167.0,107148.0,0.0
34,20667.0,107148.0,0.0
35,23267.0,107148.0,0.0
36,23267.0,106298.0,0.0
37,26367.0,106298.0,0.0
38,26367.0,107148.0,0.0
39,16867.0,101048.0,0.0
40,16867.0,103698.0,0.0
41,32067.0,101048.0,0.0
42,32067.0,103698.0,0.0
43,16867.0,98548.0,0.0
44,17767.0,101048.0,0.0
45,19467.0,101048.0,0.0
46,28967.0,101048.0,0.0
47,30367.0,101048.0,0.0
48,31167.0,101048.0,0.0
49,32067.0,98548.0,0.0
50,23267.0,98548.0,0.0
51,23267.0,99593.0,0.0
52,26367.0,98548.0,0.0
53,26367.0,99593.0,0.0
54,18417.0,98548.0,0.0
55,20667.0,98548.0,0.0
56,28267.0,98548.0,0.0
57,30517.0,98548.0,0.0
58,19917.0,114848.0,0.0
59,28967.0,113448.0,0.0
60,20667.0,101048.0,0.0
61,16867.0,106698.0,0.0
62,32067.0,107148.0,0.0
63,16867.0,107148.0,0.0
64,17767.0,107148.0,0.0
65,31167.0,107148.0,0.0
66,20667.0,106298.0,0.0
67,28967.0,106298.0,0.0
68,28967.0,107148.0,0.0
69,20667.0,113648.0,0.0
70,20667.0,101548.0,0.0
71,28967.0,101548.0,0.0
72,28967.0,114848.0,0.0
142,16867.0,111398.0,0.0
143,16867.0,111398.0,6000.0
144,16867.0,112898.0,0.0
145,16867.0,112898.0,6000.0
146,16867.0,111398.0,3600.0
147,16867.0,112898.0,3600.0
148,32067.0,111773.0,0.0
149,32067.0,111773.0,6000.0
150,32067.0,113273.0,0.0
151,32067.0,113273.0,6000.0
152,32067.0,111773.0,3600.0
153,32067.0,113273.0,3600.0
154,16867.0,101623.0,0.0
155,16867.0,101623.0,6000.0
156,16867.0,103123.0,0.0
157,16867.0,103123.0,6000.0
158,16867.0,101623.0,2500.0
159,16867.0,103123.0,2500.0
160,16867.0,99398.0,0.0
161,16867.0,99398.0,6000.0
162,16867.0,99398.0,3600.0
163,16867.0,101048.0,3600.0
164,32067.0,101623.0,0.0
165,32067.0,101623.0,6000.0
166,32067.0,103123.0,0.0
167,32067.0,103123.0,6000.0
168,32067.0,101623.0,2500.0
169,32067.0,103123.0,2500.0
170,32067.0,99398.0,0.0
171,32067.0,99398.0,6000.0
172,32067.0,99398.0,3600.0
173,32067.0,101048.0,3600.0
174,18142.0,114848.0,0.0
175,18142.0,114848.0,6000.0
176,19642.0,114848.0,0.0
